controller,scenario,reward_mean,reward_std,ch4_total_m3,ch4_avg_flow,volumetric_productivity,violation_rate,steps_with_violation,ph_violation_count,vfa_violation_count,nh3_violation_count,ph_mean,vfa_max,ch4_volatility,net_energy_kwh,overall_score,terminated
Constant,nominal,0.1526433571252801,0.7375496700056752,93499.06922201239,1558.5884086322608,0.45840835548007675,0.3642993575273485,2098,0,0,2098,7.250119384530891,0.1834520813996074,5.905246637144723,933550.942220124,0.7274261475390329,False
PID,nominal,-1.237567716968395,0.6761779780458409,115264.27401556222,1921.4048108168038,0.5651190620049423,0.969091856225039,5581,0,2759,5488,7.31232871306211,0.2880695326928573,7.062180301060815,1151202.9901556221,0.558957823328035,False
CascadedPID,nominal,-0.8679599894841905,0.519267733860254,109010.06344698905,1817.1498681908229,0.5344558435855362,0.960409793366904,5531,0,1059,5455,7.300473698379996,0.2602175945215703,10.137183214472822,1088660.8844698905,0.5437912773202729,False
MPC,nominal,-0.941906315749645,0.4322947237668444,61108.046159932186,1018.6442839648358,0.29960125998965764,0.9258551831915263,5332,0,0,5332,7.297356996654389,0.15343641256108945,2.7016610083891823,610612.153366891,0.3921817794048052,False
Constant,high_load,-1.4739169734274506,0.6969237444464819,118916.41820700557,1982.2844500560054,0.5830248382517663,0.9795103316548012,5641,0,3495,5525,7.323290851262053,0.3122656266586267,7.157049809942999,1187724.4320700557,0.5671539151057645,False
PID,high_load,-2.8871905878323743,1.764619299240165,73402.4740970506,2310.372955185855,0.6795214574076044,0.9895081967213115,3018,0,2445,2843,7.323064939879845,0.8014594192472934,7.07825606556647,733262.240970506,-0.37535238230452406,True
CascadedPID,high_load,-0.9599964943439585,0.5644200458499868,111969.89385980478,1866.4889408823162,0.5489673355536224,0.9642299010244835,5553,0,1446,5472,7.312017401089395,0.2696573730228955,12.24223781443054,1118259.188598048,0.5580367221025857,False
MPC,high_load,-1.017306050379801,0.2786321881089882,77925.60904024856,1298.9856690161248,0.38205460853415435,0.9840250043410315,5667,0,0,5667,7.3560256174763,0.182598251370039,3.5434674805131468,778794.8820443065,0.4281525001711267,False
Constant,low_load,0.47380406240692746,0.10766961098547623,65760.71980414087,1096.20230963666,0.3224124440107823,0.0,0,0,0,0,7.137997942397341,0.1435309018038279,3.6104805918565672,656167.4480414087,0.7805684443265352,False
PID,low_load,0.395972065498328,0.14065536132598652,56355.09089878305,939.4146077935706,0.2762984140569325,0.0,0,0,0,0,7.100597179195715,0.13892067754620535,3.0485271282165276,562111.1589878305,0.7280323055750981,False
CascadedPID,low_load,0.6066681055465557,0.1295532668076884,81965.45744849122,1366.3281672261082,0.4018612256547377,0.0,0,0,0,0,7.208616052789538,0.17008267864044985,5.809745757619254,818214.8244849122,0.8358764447057699,False
MPC,low_load,0.32928717438144955,0.07766733239279597,42448.8036551817,707.6029086468907,0.20811850254320313,0.0,0,0,0,0,7.211516998727783,0.13321189061238803,1.5753727186734163,424024.65871346166,0.6973190581094868,False
Constant,shock_load,0.15023739094698788,0.7402801624352727,93640.71706688547,1560.9496159786431,0.45910282822901266,0.36655669387046363,2111,0,0,2111,7.250650843886535,0.18341956756126157,5.992350957876669,934967.4206688546,0.7270324050272536,False
PID,shock_load,-1.2435007714841355,0.6764783914019714,115450.98098000517,1924.5171338913867,0.5660344511445256,0.969091856225039,5581,0,2787,5488,7.31289182147342,0.28824674822846025,7.159620693334233,1153070.0598000516,0.5596451162898444,False
CascadedPID,shock_load,-0.8694248449176941,0.529353996540239,109001.82599053586,1817.0125534105648,0.5344154568854602,0.9576315332523008,5515,0,1086,5439,7.30029424196694,0.26019375484301066,10.217749679332739,1088578.5099053585,0.5445285521103893,False
MPC,shock_load,-0.9634614559905034,0.39911295252279916,61005.68453419975,1016.9379606326056,0.2990994001860605,0.9399201250217052,5413,0,0,5413,7.297255605035617,0.15343641256108945,2.6774005296353827,609588.5477349586,0.386571964971917,False
Constant,temperature_drop,0.162642311084087,0.7352696649212167,93498.60101819027,1558.5806038802336,0.4584060599647746,0.35770098975516584,2060,0,0,2060,7.250069946430659,0.18340637435592436,5.90240270583374,933546.2601819027,0.7300634014618232,False
PID,temperature_drop,-1.2345960611273266,0.6748872612440786,115275.9449861747,1921.599360769712,0.5651762825793271,0.969091856225039,5581,0,2751,5488,7.3123589251032195,0.2876810843362805,7.064765283657231,1151319.699861747,0.5589889868088356,False
CascadedPID,temperature_drop,-0.8663500534149211,0.5203306599270474,109044.70816370068,1817.727380398553,0.5346257001172214,0.9598888695954159,5528,0,1057,5452,7.300538745342276,0.260114700597888,10.132654335900913,1089007.3316370067,0.544109155160543,False
MPC,temperature_drop,-0.9519050045413419,0.41876857355795594,60956.50199167798,1016.1181092552677,0.2988582674280199,0.9321062684493836,5368,0,0,5368,7.297320293139371,0.15343641256108945,2.6807631041267452,609096.7551821118,0.38930827038048943,False
Constant,cold_winter,-0.18607475853966254,1.396620710658939,24292.23908517164,1219.6940126446013,0.3587335331307651,0.35826359832635984,685,0,685,0,7.148065183711566,0.8029559402859097,3.0398577937498015,242444.3908517164,-0.3714735328949206,True
PID,cold_winter,-0.4714385969395501,1.6109292304752192,30295.124059892434,1334.7094583523055,0.39256160539773693,0.510325837540156,1112,0,1112,0,7.1686629033507225,0.8013136571503653,3.729350966078669,302406.49059892434,-0.4325671683922253,True
CascadedPID,cold_winter,-0.2392644617864479,1.594895563236891,24386.85358289208,1152.1348149397834,0.3388631808646422,0.29970472440944884,609,0,609,0,7.1401402934846905,0.8023466241048391,5.482705586566432,243360.53582892078,-0.3904209743827576,True
MPC,cold_winter,0.412147216516024,0.09558922299160877,52407.047965933074,873.6024665271011,0.25694190191973565,0.0,0,0,0,0,7.182639612076639,0.18518259334758597,1.5320196557699273,523603.35039061774,0.730473535043118,False
