controller,scenario,reward_mean,reward_std,ch4_total_m3,ch4_avg_flow,volumetric_productivity,violation_rate,steps_with_violation,ph_violation_count,vfa_violation_count,nh3_violation_count,ph_mean,vfa_max,ch4_volatility,net_energy_kwh,overall_score,terminated
Constant,nominal,0.4266110387998628,0.5731073822417199,44720.02227275616,1490.6674090918723,0.43843159090937417,0.0,0,0,0,464,7.241613079997501,0.17847270154292877,5.499163102776798,446480.2227275616,0.8518727574592455,False
PID,nominal,-0.5603012711989244,0.5222914985609095,54565.22949566437,1818.8409831888123,0.5349532303496507,0.30416666666666664,876,0,876,2609,7.28273159252721,0.24097452263459093,6.673482705520719,544932.2949566437,0.7967972174678778,False
CascadedPID,nominal,-0.5652626426755963,0.538865782282534,52964.60730863585,1765.486910287862,0.5192608559670182,0.15694444444444444,452,0,452,2576,7.279382663047654,0.238104881239592,9.242970070300759,528926.0730863585,0.8488528931200799,False
MPC,nominal,-0.8232962708248073,0.5826170234320566,29687.63040915602,989.5876803052007,0.2910552000897649,0.0,0,0,0,2453,7.283547839316183,0.15343641256108945,2.7352423919644755,296635.2388933875,0.745742824176473,False
Constant,high_load,-0.5559850459700759,0.5035518738768718,56944.852766144475,1898.1617588714826,0.5582828702563184,0.43333333333333335,1248,0,1248,2646,7.291501959408032,0.2666741520135267,6.892725843349988,568728.5276614447,0.7607713056226243,False
PID,high_load,-1.7125365212150734,1.434389415116395,68708.67823391128,2290.2892744637093,0.6736144924893263,0.7899305555555556,2275,0,2275,2673,7.32158358621081,0.7440905891292278,7.11253195088629,686366.7823391128,0.6995721066612884,False
CascadedPID,high_load,-0.5582882691416059,0.5161901521027757,55145.96190682628,1838.1987302275427,0.5406466853610419,0.23194444444444445,668,0,668,2593,7.290993027365514,0.26429225036299403,11.681551065720074,550739.6190682627,0.8417818408762889,False
MPC,high_load,-0.9290844935735137,0.35462022252734243,37534.48774283478,1251.1495914278262,0.3679851739493606,0.0,0,0,0,2788,7.319410423800571,0.1782955144703563,3.4629377862084536,375110.8674794594,0.8032702732388967,False
Constant,low_load,0.45051422208073716,0.12732304252500265,31511.699135862822,1050.3899711954275,0.3089382268221845,0.0,0,0,0,0,7.167540592303957,0.1435309018038279,3.7165620321803345,314396.9913586282,0.7625019949303455,False
PID,low_load,0.4639873036682743,0.16568776631846496,32340.222430525464,1078.0074143508489,0.3170610042208379,0.0,0,0,0,0,7.190863939595911,0.13892067754620535,4.052314859068654,322682.22430525464,0.7545586272338776,False
CascadedPID,low_load,0.5837425216060498,0.1522316440883987,39606.1580390505,1320.20526796835,0.3882956670495147,0.0,0,0,0,0,7.220475556439131,0.15560654478436292,5.396489457283421,395341.58039050497,0.8187296991188845,False
MPC,low_load,0.32237173284609155,0.09856434361000092,20866.172971783868,695.5390990594624,0.20457032325278302,0.0,0,0,0,0,7.233978363497894,0.13321189061238803,1.7485205518251585,208425.57823435686,0.6817663122133041,False
Constant,shock_load,0.43288595989829154,0.5733326101791683,44858.56503657983,1495.2855012193277,0.43978985329980225,0.0,0,0,0,456,7.242292450446452,0.1780645411640791,5.666500528590246,447865.65036579827,0.8527895021515605,False
PID,shock_load,-0.5588068214806705,0.5222532679373908,54733.87449815419,1824.4624832718064,0.5366066127270018,0.31354166666666666,903,0,903,2609,7.2833394249919365,0.2412019301187787,6.861720424095178,546618.7449815419,0.7941896577337499,False
CascadedPID,shock_load,-0.5570158115737193,0.549642004062168,52949.23354938747,1764.9744516462492,0.519110132837132,0.16631944444444444,479,0,479,2560,7.2791067151109585,0.238104881239592,9.405162823292798,528772.3354938747,0.8443826684291359,False
MPC,shock_load,-0.8652771340309008,0.5416346240717869,29735.67516515983,991.1891721719944,0.2915262271094101,0.0,0,0,0,2534,7.284029646974781,0.15343641256108945,2.7716252646060555,297115.6603999992,0.7464548187510622,False
Constant,temperature_drop,0.42658968196343827,0.5730982436221381,44718.63125723472,1490.621041907824,0.4384179535023012,0.0,0,0,0,464,7.241576842548864,0.17850621354431986,5.497537867957996,446466.31257234723,0.8518619264943531,False
PID,temperature_drop,-0.5601677387876407,0.5222644419761022,54567.550449192786,1818.9183483064262,0.5349759847960077,0.3034722222222222,874,0,874,2609,7.28274475623385,0.2406969085480157,6.6735609865191865,544955.5044919278,0.7970876704838585,False
CascadedPID,temperature_drop,-0.5634831240334388,0.5407072321022414,52972.28498175119,1765.7428327250398,0.5193361272720705,0.15694444444444444,452,0,452,2573,7.279394816992319,0.238104881239592,9.239241104995724,529002.8498175119,0.8489005522452718,False
MPC,temperature_drop,-0.8410695893044775,0.5657559629644013,29759.248992572062,991.9749664190688,0.29175734306443196,0.0,0,0,0,2489,7.283783223907955,0.15343641256108945,2.7720582397321474,297351.43758234475,0.7465508312341121,False
Constant,cold_winter,-0.18598192358326107,2.126625624102261,24999.421671453478,1186.3294515370906,0.34892042692267367,0.393475037073653,796,0,796,0,7.131339179907533,1.200110109714541,2.9090741135272977,249488.4667145348,-0.39588779601570656,True
PID,cold_winter,-0.3272919854737013,2.319324366054643,31038.930833014852,1287.1435680213503,0.37857163765333834,0.5390928725701943,1248,2,1248,0,7.149659239789594,1.2005401642495086,3.5387977271493547,309810.5583301485,-0.4586222164108842,True
CascadedPID,cold_winter,-0.3960681834645506,2.4333423755863275,24938.004334525573,1107.3304422361032,0.3256854241870892,0.3418131359851989,739,81,739,0,7.118776765267457,1.2014277670214266,5.187108804011827,248839.54334525572,-0.42201368003209827,True
MPC,cold_winter,0.41509661222190525,0.12591504554136598,26460.119645296745,882.0039881765582,0.2594129376989877,0.0,0,0,0,0,7.208877535192698,0.18095277987909372,1.913304677007937,264361.5314244661,0.718572629724705,False
