obs_mode,train_scenario,test_scenario,algo,reward_config,seed,reward_mean,reward_std,ch4_avg,ch4_std,violation_rate,violation_rate_std,overall_score,terminated_rate,ph_mean,vfa_max_mean,vfa_cvar95,vfa_worst_episode,score_worst,score_cvar95,curriculum
full,nominal,nominal,sac,safety_first,42,0.7818668745,0.0,1895.1611450815,0.0,0.0069468565,0.0,0.9577730549,0.0,7.2081246634,0.2103258287,0.0069468565,0.0069468565,0.9577730549,-0.9577730549,False
full,nominal,high_load,sac,safety_first,42,0.8019768811,0.0,2010.9489217981,0.0,0.0430705106,0.0,0.9727242116,0.0,7.230860874,0.2256026188,0.0430705106,0.0430705106,0.9727242116,-0.9727242116,False
full,nominal,shock_load,sac,safety_first,42,0.7824539783,0.0,1896.2605149882,0.0,0.0069468565,0.0,0.9579284961,0.0,7.2090183549,0.2103258287,0.0069468565,0.0069468565,0.9579284961,-0.9579284961,False
full,nominal,low_load,sac,safety_first,42,0.6541873472,0.0,1633.4471649561,0.0,0.0,0.0,0.8935935827,0.0,7.1530683493,0.1927524348,0.0,0.0,0.8935935827,-0.8935935827,False
full,nominal,temperature_drop,sac,safety_first,42,0.7818872938,0.0,1895.0060860197,0.0,0.0069468565,0.0,0.9577311306,0.0,7.2080514028,0.2103258287,0.0069468565,0.0069468565,0.9577311306,-0.9577311306,False
full,nominal,cold_winter,sac,safety_first,42,0.2702470798,5.551115123e-17,957.0330813496,0.0,0.1406738451,0.0,0.591928093,0.0,7.1807102769,0.2305272673,0.1406738451,0.1406738451,0.591928093,-0.591928093,False
full,nominal,recovery_test,sac,safety_first,42,0.7568134692,1.110223025e-16,1871.22515678,0.0,0.0104220948,1.734723476e-18,0.9481627329,0.0,7.2132365846,0.2103258287,0.0104220948,0.0104220948,0.9481627329,-0.9481627329,False
full,nominal,nominal,sac,safety_first,123,0.811610874,0.0,1949.8803488245,0.0,0.0215352553,0.0,0.9603054818,0.0,7.2339611448,0.2171215843,0.0215352553,0.0215352553,0.9603054818,-0.9603054818,False
full,nominal,high_load,sac,safety_first,123,0.444348535,0.0,2045.428612889,0.0,0.3223341438,5.551115123e-17,0.8654511903,0.0,7.2531375566,0.2349627809,0.3223341438,0.3223341438,0.8654511903,-0.8654511903,False
full,nominal,shock_load,sac,safety_first,123,0.8111809383,0.0,1947.4361982621,0.0,0.0211879125,0.0,0.9591925531,0.0,7.2347015,0.2171215843,0.0211879125,0.0211879125,0.9591925531,-0.9591925531,False
