obs_mode,train_scenario,test_scenario,algo,reward_config,curriculum,seed,reward_mean,reward_std,ch4_avg,ch4_std,violation_rate,violation_rate_std,overall_score,terminated_rate,ph_mean,vfa_max_mean,vfa_cvar95,vfa_worst_episode,score_worst,score_cvar95
full,nominal,nominal,sac,safety_first,False,42,0.45289256190632204,0.0,1658.6673646930353,0.0,0.16999479076228513,0.0,0.8422299506383963,0.0,7.25239127037089,0.191378020304178,0.16999479076228513,0.16999479076228513,0.8422299506383962,-0.8422299506383962
full,nominal,high_load,sac,safety_first,False,42,-0.475274646316335,5.851389114294502e-17,1771.6559057840489,2.396728981215028e-13,0.8110783122069802,1.1702778228589004e-16,0.6110497206519439,0.0,7.267632153668887,0.20571549943468254,0.8110783122069803,0.8110783122069803,0.6110497206519439,-0.6110497206519439
full,nominal,low_load,sac,safety_first,False,42,0.5132349096098349,1.1702778228589004e-16,1193.0400569981996,0.0,0.0,0.0,0.81238211723605,0.0,7.194973706293736,0.13326207081160188,0.0,0.0,0.8123821172360501,-0.8123821172360501
full,nominal,shock_load,sac,safety_first,False,42,0.4456656630054388,5.851389114294502e-17,1661.023714278065,0.0,0.17537766973432892,2.925694557147251e-17,0.8405230339630616,0.0,7.252758401738805,0.19299927689633428,0.1753776697343289,0.1753776697343289,0.8405230339630616,-0.8405230339630616
full,nominal,temperature_drop,sac,safety_first,False,42,0.44367785885561756,0.0,1658.5042015175973,2.396728981215028e-13,0.17624587602014238,0.0,0.8397100666758803,0.0,7.252683398231016,0.19111911630888248,0.17624587602014238,0.17624587602014238,0.8397100666758803,-0.8397100666758803
full,nominal,cold_winter,sac,safety_first,False,42,0.2370664266278834,2.925694557147251e-17,501.8361701626578,5.99182245303757e-14,0.0,0.0,0.5540305050826965,0.0,7.180372918627535,0.13362788887362537,0.0,0.0,0.5540305050826965,-0.5540305050826965
full,nominal,nominal,sac,safety_first,False,123,0.6610276502726934,0.0,1596.2306974296102,2.396728981215028e-13,0.0005209237714881056,0.0,0.8777020422276156,0.0,7.195948733556053,0.20123550234601817,0.0005209237714881056,0.0005209237714881056,0.8777020422276156,-0.8777020422276156
full,nominal,high_load,sac,safety_first,False,123,0.7844048794600184,1.1702778228589004e-16,1831.2073985759591,2.396728981215028e-13,0.0,0.0,0.9548413942542281,0.0,7.228902314909535,0.19500486391588812,0.0,0.0,0.9548413942542281,-0.9548413942542281
full,nominal,low_load,sac,safety_first,False,123,0.29616542186915573,0.0,695.1755532225236,0.0,0.0,0.0,0.5956924195861394,0.0,7.141459772146971,0.17311085790902928,0.0,0.0,0.5956924195861393,-0.5956924195861393
full,nominal,shock_load,sac,safety_first,False,123,0.6693003640405472,1.1702778228589004e-16,1618.4802859883252,0.0,0.00034728251432540375,5.714247181928225e-20,0.8867694494427232,0.0,7.195440296054988,0.20031824274633342,0.0003472825143254037,0.0003472825143254037,0.8867694494427232,-0.8867694494427232
full,nominal,temperature_drop,sac,safety_first,False,123,0.6604617228222543,0.0,1596.0450198080994,2.396728981215028e-13,0.0010418475429762111,0.0,0.8773326199960787,0.0,7.196241352972682,0.2034211583283228,0.0010418475429762111,0.0010418475429762111,0.8773326199960787,-0.8773326199960787
